"tract","Name","Household_Income_rP_gP_pall"
9003497700,"West Hartford, CT",82302
9003497400,"West Hartford, CT",80731
9003497200,"West Hartford, CT",74816
9003496400,"West Hartford, CT",73894
9003520100,"Glastonbury, CT",71005
9003487201,"South Windsor, CT",70082
9003496500,"West Hartford, CT",69963
9003497500,"West Hartford, CT",69261
9003497000,"West Hartford, CT",68745
9003497300,"West Hartford, CT",68743
9003487300,"South Windsor, CT",68334
9003487100,"South Windsor, CT",67199
9003496600,"West Hartford, CT",66955
9003492400,"Wethersfield, CT",66525
9003466400,"Simsbury, CT",65301
9003487500,"South Windsor, CT",62710
9003460202,"Farmington, CT",62665
9003497100,"West Hartford, CT",60962
9003462202,"Avon, CT",60702
9003492100,"Wethersfield, CT",60034
9003494600,"Newington, CT",59835
9003497600,"West Hartford, CT",59328
9003417400,"New Britain, CT",58428
9003492200,"Wethersfield, CT",56802
9003496300,"West Hartford, CT",56769
9003460100,"Farmington, CT",56711
9003511400,"East Hartford, CT",56556
9003494500,"Newington, CT",56071
9003520301,"Glastonbury, CT",55732
9003515102,"Manchester, CT",55646
9003487400,"South Windsor, CT",55529
9003511000,"East Hartford, CT",55241
9003496200,"West Hartford, CT",53794
9003496900,"West Hartford, CT",52247
9003510900,"East Hartford, CT",51987
9003524502,"West End, Hartford, CT",51016
9003511100,"East Hartford, CT",50940
9003417500,"New Britain, CT",50846
9003471400,"Bloomfield, CT",50714
9003520302,"Glastonbury Center, Glastonbury, CT",50576
9003515101,"Keeney, Manchester, CT",50520
9003496800,"West Hartford, CT",48456
9003473100,"Windsor, CT",48284
9003492300,"Wethersfield, CT",47198
9003514200,"Robertson, Manchester, CT",47088
9003473700,"Windsor, CT",46318
9003514102,"Robertson, Manchester, CT",45828
9003510100,"East Hartford, CT",45420
9003502100,"Downtown, Hartford, CT",45083
9003514500,"Central Manchester, Manchester, CT",44821
9003510800,"East Hartford, CT",42586
9003496100,"West Hartford, CT",42400
9003510500,"East Hartford, CT",42282
9003511300,"East Hartford, CT",40035
9003496700,"West Hartford, CT",40022
9003510700,"East Hartford, CT",39861
9003471500,"Bloomfield, CT",38908
9003514600,"Central Manchester, Manchester, CT",38401
9003511200,"East Hartford, CT",38183
9003504800,"South West, Hartford, CT",37825
9003502300,"South End, Hartford, CT",37491
9003471300,"Bloomfield, CT",36483
9003524501,"West End, Hartford, CT",36094
9003510300,"East Hartford, CT",35432
9003510200,"East Hartford, CT",34266
9003504200,"West End, Hartford, CT",33825
9003471100,"Blue Hills, Bloomfield, CT",33748
9003502600,"Barry Square, Hartford, CT",33597
9003510400,"East Hartford, CT",32821
9003510600,"East Hartford, CT",32392
9003502400,"South End, Hartford, CT",32334
9003504300,"Parkville, Hartford, CT",31963
9003504000,"Hartford, CT",31783
9003473800,"Windsor, CT",31676
9003502500,"South End, Hartford, CT",31035
9003524700,"South West, Hartford, CT",30993
9003471200,"Bloomfield, CT",30682
9003503900,"Hartford, CT",30506
9003504900,"Behind the Rocks, Hartford, CT",30053
9003504500,"Behind the Rocks, Hartford, CT",29719
9003502900,"Frog Hollow, Hartford, CT",29362
9003504100,"Parkville, Hartford, CT",28818
9003524600,"Asylum Hill, Hartford, CT",28647
9003500400,"Sheldon Charter Oak, Hartford, CT",28527
9003503500,"Upper Albany, Hartford, CT",27887
9003502700,"Barry Square, Hartford, CT",27605
9003500200,"Barry Square, Hartford, CT",27311
9003500500,"Sheldon Charter Oak, Hartford, CT",27040
9003503700,"Upper Albany, Hartford, CT",26707
9003503100,"Asylum Hill, Hartford, CT",26640
9003501700,"Clay Arsenal, Hartford, CT",26400
9003500100,"Barry Square, Hartford, CT",26076
9003501500,"North End, Hartford, CT",25391
9003524400,"North End, Hartford, CT",25093
9003500300,"South Green, Hartford, CT",24983
9003503000,"Frog Hollow, Hartford, CT",24179
9003501800,"Clay Arsenal, Hartford, CT",23296
9003502800,"Frog Hollow, Hartford, CT",23234
9003503300,"Asylum Hill, Hartford, CT",22880
9003501300,"North End, Hartford, CT",22560
9003503800,"Hartford, CT",22558
9003501200,"North End, Hartford, CT",22396
9003501400,"Upper Albany, Hartford, CT",21961
9003500900,"Clay Arsenal, Hartford, CT",20067
9003500700,"North Meadows, Hartford, CT",
